,title,core_role,top_skills
16,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
17,forecast analyst retail call center workforce management,analyst,"['marketing', 'analysis', 'management', 'assessment', 'media', 'social', 'vulnerability', 'android', 'bash', 'email']"
18,lead data scientist retail payer analytics,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
19,research scientist responsible ai,scientist,"['learning', 'analysis', 'management', 'employee', 'engagement', 'ai', 'cassandra', 'generative', 'llm', 'neo4j']"
20,principal data scientist operations research,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
21,machine learning scientist generative ai,scientist,"['learning', 'analysis', 'management', 'employee', 'engagement', 'ai', 'cassandra', 'generative', 'llm', 'neo4j']"
22,data scientist product,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
23,data scientist marketing,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
24,data scientist finance,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
25,data scientist optimization,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
26,senior director data science r,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
27,data science director,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
28,data scientist senior geo,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
29,data scientist senior experimentation,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
30,data scientist senior customer client,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
31,data scientist product analyst marketplace,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
32,data scientist services,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
33,data scientist international,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
34,principal data scientist search and personalization united states,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
35,data science manager,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
36,senior product data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
37,data scientist lead square f s,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
38,staff data scientist model risk management,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
39,senior product data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
40,data science and analytics manager streaming product,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
41,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
42,data scientist resilience modeling,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
43,lead data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
44,principal data scientist search and personalization canada,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
45,data scientist i,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
46,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
47,senior full stack data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
48,lead advanced analytics trust safety,advanced analytics trust safety,"['learning', 'machine', 'sql', 'python']"
49,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
50,lead data scientist simulation,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
51,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
52,senior data scientist go to market automation,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
53,data scientist customer identity access management,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
54,senior data scientist ecommerce,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
55,senior data scientist commerce platform inventory,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
56,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
57,sr data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
58,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
59,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
60,staff research scientist,scientist,"['learning', 'analysis', 'management', 'employee', 'engagement', 'ai', 'cassandra', 'generative', 'llm', 'neo4j']"
61,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
62,senior manager data science,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
63,senior data scientist clinical research commercial pharma analytics,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
64,data science manager,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
65,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
66,senior product manager ads contextual intelligence,product manager,"['recommendation', 'systems', 'nlp', 'learning', 'machine']"
67,sr data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
68,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
69,data science lead,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
70,senior data scientist machine learning nlp,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
71,associate director product analytics and data science,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
72,senior data scientist reinforcement learning,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
73,senior healthcare analytics and research consultant,healthcare analytics research consultant,"['classification', 'regression', 'sql', 'python']"
74,quantitative risk analyst ii,analyst,"['marketing', 'analysis', 'management', 'assessment', 'media', 'social', 'vulnerability', 'android', 'bash', 'email']"
75,product data scientist ranking homes,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
76,junior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
77,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
78,senior data science manager,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
79,lead data scientist product growth,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
80,product data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
81,data science team lead,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
82,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
83,associate research scientist,scientist,"['learning', 'analysis', 'management', 'employee', 'engagement', 'ai', 'cassandra', 'generative', 'llm', 'neo4j']"
84,data scientist growth analytics channels,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
85,sr data scientist customer insights portal,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
86,data scientist phd,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
87,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
88,data scientist machine learning computer vision,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
89,senior data scientist us,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
90,data scientist analytics,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
91,senior data scientist analytics,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
92,experienced data scientist analytics,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
93,data scientist iii,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
94,senior data scientist lead,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
95,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
96,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
97,sr data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
98,lead data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
99,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
100,senior ai engineer ai scientist,ai engineer,"['artificial', 'intelligence', 'learning', 'machine', 'python']"
101,decision science analyst senior,analyst,"['marketing', 'analysis', 'management', 'assessment', 'media', 'social', 'vulnerability', 'android', 'bash', 'email']"
102,senior decision analyst,analyst,"['marketing', 'analysis', 'management', 'assessment', 'media', 'social', 'vulnerability', 'android', 'bash', 'email']"
103,decision science analyst i,analyst,"['marketing', 'analysis', 'management', 'assessment', 'media', 'social', 'vulnerability', 'android', 'bash', 'email']"
104,manager of computer vision,manager,"['management', 'time', 'css', 'firewall', 'mongodb', 'powershell', 'react', 'switching', 'learning', 'auditing']"
105,lead data scientist growth cx,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
106,staff data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
107,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
108,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
109,research scientist,scientist,"['learning', 'analysis', 'management', 'employee', 'engagement', 'ai', 'cassandra', 'generative', 'llm', 'neo4j']"
110,senior ml nlp data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
111,lead data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
112,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
113,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
114,vp data science,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
115,data scientist nlp,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
116,analyst ii data science machine learning innovation,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
117,assistant director advanced analytics,director,"['learning', 'management', 'owasp', 'payroll', 'gitlab', 'elasticsearch', 'engineering', 'feature', 'huggingface', 'jenkins']"
118,data scientist enterprise marketing,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
119,senior marketing data scientist monetization,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
120,community marketing data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
121,senior data scientist analytics messaging experience,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
122,senior data scientist drug utilization forecasting,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
123,senior data scientist care management,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
124,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
125,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
126,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
127,marketing analytics data science senior manager,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
128,senior data scientist credit,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
129,lead data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
130,sr data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
131,principal data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
132,senior data scientist city success,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
133,staff data scientist machine learning,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
134,data science team lead,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
135,senior manager data science,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
136,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
137,sr data scientist ads experimentation analytics,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
138,sr data scientist analytics growth retention,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
139,sr data scientist machine learning search,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
140,applied researcher machine learning,scientist,"['learning', 'analysis', 'management', 'employee', 'engagement', 'ai', 'cassandra', 'generative', 'llm', 'neo4j']"
141,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
142,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
143,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
144,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
145,senior applied scientist i knowledge base,scientist,"['learning', 'analysis', 'management', 'employee', 'engagement', 'ai', 'cassandra', 'generative', 'llm', 'neo4j']"
146,data scientist product analytics,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
147,manager data science,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
148,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
149,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
150,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
151,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
152,devrel data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
153,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
154,senior ml engineer sr data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
155,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
156,senior data scientist business intelligence,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
157,staff data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
158,senior machine learning scientist,scientist,"['learning', 'analysis', 'management', 'employee', 'engagement', 'ai', 'cassandra', 'generative', 'llm', 'neo4j']"
159,data scientist new grad,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
160,data scientist product community team,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
161,director of data data science analytics,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
162,director data science analytics,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
163,senior climate data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
164,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
165,data scientist infectious disease modeling,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
166,data scientist engineer,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
167,lead analyst data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
168,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
169,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
170,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
171,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
172,data scientist product analytics,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
173,senior data scientist trust safety,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
174,senior data scientist product analytics,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
175,senior data scientist forecasting,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
176,senior data scientist growth personalization,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
177,senior data scientist international growth,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
178,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
179,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
180,lead applied research scientist us,scientist,"['learning', 'analysis', 'management', 'employee', 'engagement', 'ai', 'cassandra', 'generative', 'llm', 'neo4j']"
181,senior research scientist,scientist,"['learning', 'analysis', 'management', 'employee', 'engagement', 'ai', 'cassandra', 'generative', 'llm', 'neo4j']"
182,senior data scientist analytics messaging experience,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
183,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
184,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
185,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
186,senior full stack data scientist returnly,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
187,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
188,data science,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
189,data science manager help journey,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
190,senior data scientist product analytics,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
191,senior data scientist for risk,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
192,data science co op summer,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
193,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
194,director of data science and business analytics,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
195,senior data scientist for risk,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
196,data scientist bot management,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
197,senior data scientist product analytics,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
198,operational data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
199,applied research scientist machine learning,scientist,"['learning', 'analysis', 'management', 'employee', 'engagement', 'ai', 'cassandra', 'generative', 'llm', 'neo4j']"
200,data analyst scientist philanthropy,data analyst,"['matplotlib', 'plotly', 'sem', 'seaborn', 'scala', 'xgboost', 'analytics', 'google', 'recommendation', 'systems']"
201,data scientist product analytics,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
202,senior data scientist india,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
203,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
204,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
205,senior data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
206,data scientist risk modeler,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
207,data scientist sr data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
208,senior analyst data science sportsbook,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
209,data scientist people analytics,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
210,data scientist,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
211,data scientist customer analytics,data scientist,"['management', 'github', 'analysis', 'analytics', 'google', 'time', 'learning', 'actions', 'api', 'catboost']"
